"Timestamp per 10 seconds",Springboot,Express,FastAPI
"00:53:00","330.22MB","82.60MB","192.26MB"
"00:53:10","330.48MB","82.88MB","239.91MB"
"00:53:20","330.48MB","82.98MB","244.58MB"
"00:53:30","595.51MB","82.98MB","279.97MB"
"00:53:40","589.61MB","201.95MB","301.69MB"
"00:53:50","587.60MB","265.50MB","301.69MB"
"00:54:00","587.60MB","265.50MB","301.66MB"
"00:54:10","584.62MB","229.16MB","313.29MB"
"00:54:20","584.59MB","112.26MB","334.25MB"
"00:54:30","561.89MB","109.57MB","334.25MB"
"00:54:40","552.35MB","110.09MB","328.89MB"
"00:54:50","552.56MB","105.79MB","329.05MB"
"00:55:00",null,"105.79MB","327.48MB"
"00:55:10",null,"105.71MB","327.00MB"
"00:55:20",null,"105.71MB","327.02MB"
